Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Coder ID,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
CEBUS-02-R11__2022-01-10__17-50-52,2023-09-25 11:03:54,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,14.748,60.894,29.970,MKWC,subadultmale,0.0,seqstart,Sequence info,almendraunknown,,,,POINT,2.469,2.469,NA,//mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,74,74,,,FRE as anvil,
CEBUS-02-R11__2022-01-10__17-50-52,2023-09-25 11:03:54,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,14.748,60.894,29.970,MKWC,subadultmale,0.0,hammerstone,Sequence info,onanvil,None,None,e_onanvil,POINT,2.603,2.603,NA,//mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,79,79,,,BAM,
CEBUS-02-R11__2022-01-10__17-50-52,2023-09-25 11:03:54,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,14.748,60.894,29.970,MKWC,subadultmale,0.0,pound,Behavior,crouch,None,None,,POINT,3.103,3.103,NA,//mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,93,93,,,,
CEBUS-02-R11__2022-01-10__17-50-52,2023-09-25 11:03:54,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,14.748,60.894,29.970,MKWC,subadultmale,0.0,seqend,Sequence info,abandoned,None,None,None,POINT,4.004,4.004,NA,//mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,120,120,,,,
CEBUS-02-R11__2022-01-10__17-50-52,2023-09-25 11:03:54,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,14.748,60.894,29.970,MKWC,subadultmale,0.0,seqstart,Sequence info,almendrabrown,,,,POINT,6.807,6.807,NA,//mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,204,204,,,FRE as anvil,
CEBUS-02-R11__2022-01-10__17-50-52,2023-09-25 11:03:54,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,14.748,60.894,29.970,MKWC,subadultmale,0.0,hammerstone,Sequence info,onanvil,None,None,e_onanvil,POINT,7.975,7.975,NA,//mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,239,239,,,BAM,
CEBUS-02-R11__2022-01-10__17-50-52,2023-09-25 11:03:54,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,14.748,60.894,29.970,MKWC,subadultmale,0.0,pound,Behavior,crouch,None,None,,POINT,10.043,10.043,NA,//mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,301,301,,,,
CEBUS-02-R11__2022-01-10__17-50-52,2023-09-25 11:03:54,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,14.748,60.894,29.970,MKWC,subadultmale,0.0,pound,Behavior,crouch,None,None,,POINT,12.446,12.446,NA,//mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,373,373,,,,
CEBUS-02-R11__2022-01-10__17-50-52,2023-09-25 11:03:54,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,14.748,60.894,29.970,MKWC,subadultmale,0.0,pound,Behavior,crouch,1hand,None,,POINT,14.381,14.381,NA,//mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,431,431,,,,
CEBUS-02-R11__2022-01-10__17-50-52,2023-09-25 11:03:54,,Media file,player #1://mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,14.748,60.894,29.970,MKWC,subadultmale,0.0,seqend,Sequence info,opened,None,None,None,POINT,17.217,17.217,NA,//mac/Home/Documents/COIBA CEBUS Dissertation/Camera Trap & BORIS/COIBA CEBUS Camera Trap Videos/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,516,516,,,,
