Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Coder ID,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
CEBUS-02-R11__2022-01-23__07-14-08,2023-06-30 17:12:53,,Media file,player #1:CEBUS-02-R11__2022-01-23__07-14-08.MP4,5.472,60.527,29.970,LR,SPT,0.0,seqstart,Sequence info,almendraunknown,,,,POINT,0.000,0.000,NA,CEBUS-02-R11__2022-01-23__07-14-08.MP4,0,0,,,,
CEBUS-02-R11__2022-01-23__07-14-08,2023-06-30 17:12:53,,Media file,player #1:CEBUS-02-R11__2022-01-23__07-14-08.MP4,5.472,60.527,29.970,LR,SPT,0.0,hammerstone,Sequence info,inhand,None,e_onanvil,,POINT,0.067,0.067,NA,CEBUS-02-R11__2022-01-23__07-14-08.MP4,2,2,,,FRE,
CEBUS-02-R11__2022-01-23__07-14-08,2023-06-30 17:12:53,,Media file,player #1:CEBUS-02-R11__2022-01-23__07-14-08.MP4,5.472,60.527,29.970,LR,SPT,0.0,misstrike,Behavior,None,,,,POINT,0.367,0.367,NA,CEBUS-02-R11__2022-01-23__07-14-08.MP4,11,11,,,,
CEBUS-02-R11__2022-01-23__07-14-08,2023-06-30 17:12:53,,Media file,player #1:CEBUS-02-R11__2022-01-23__07-14-08.MP4,5.472,60.527,29.970,LR,SPT,0.0,reposit,Behavior,item,,,,POINT,1.101,1.101,NA,CEBUS-02-R11__2022-01-23__07-14-08.MP4,33,33,,,,
CEBUS-02-R11__2022-01-23__07-14-08,2023-06-30 17:12:53,,Media file,player #1:CEBUS-02-R11__2022-01-23__07-14-08.MP4,5.472,60.527,29.970,LR,SPT,0.0,pound,Behavior,stand,tailsupport,None,,POINT,2.402,2.402,NA,CEBUS-02-R11__2022-01-23__07-14-08.MP4,72,72,,,,
CEBUS-02-R11__2022-01-23__07-14-08,2023-06-30 17:12:53,,Media file,player #1:CEBUS-02-R11__2022-01-23__07-14-08.MP4,5.472,60.527,29.970,LR,SPT,0.0,misstrike,Behavior,hammerbreak,,,,POINT,2.436,2.436,NA,CEBUS-02-R11__2022-01-23__07-14-08.MP4,73,73,,,,
CEBUS-02-R11__2022-01-23__07-14-08,2023-06-30 17:12:53,,Media file,player #1:CEBUS-02-R11__2022-01-23__07-14-08.MP4,5.472,60.527,29.970,LR,SPT,0.0,seqend,Sequence info,opened,None,None,None,POINT,5.472,5.472,NA,CEBUS-02-R11__2022-01-23__07-14-08.MP4,164,164,,,,
CEBUS-02-R11__2022-01-24__14-58-45,2023-07-03 15:58:53,,Media file,player #1:CEBUS-02-R11__2022-01-24__14-58-45.MP4,24.758,60.861,29.970,LR,BAL,0.0,seqstart,Sequence info,almendrabrown,,,,POINT,0.000,0.000,NA,CEBUS-02-R11__2022-01-24__14-58-45.MP4,0,0,,,,
CEBUS-02-R11__2022-01-24__14-58-45,2023-07-03 15:58:53,,Media file,player #1:CEBUS-02-R11__2022-01-24__14-58-45.MP4,24.758,60.861,29.970,LR,BAL,0.0,hammerstone,Sequence info,inhand,None,e_onanvil,,POINT,0.067,0.067,NA,CEBUS-02-R11__2022-01-24__14-58-45.MP4,2,2,,,FRE,
CEBUS-02-R11__2022-01-24__14-58-45,2023-07-03 15:58:53,,Media file,player #1:CEBUS-02-R11__2022-01-24__14-58-45.MP4,24.758,60.861,29.970,LR,BAL,0.0,pound,Behavior,stand,None,None,,POINT,0.567,0.567,NA,CEBUS-02-R11__2022-01-24__14-58-45.MP4,17,17,,,,
CEBUS-02-R11__2022-01-24__14-58-45,2023-07-03 15:58:53,,Media file,player #1:CEBUS-02-R11__2022-01-24__14-58-45.MP4,24.758,60.861,29.970,LR,BAL,0.0,misstrike,Behavior,"itemflies,hammerlost",,,,POINT,0.634,0.634,NA,CEBUS-02-R11__2022-01-24__14-58-45.MP4,19,19,,,,
CEBUS-02-R11__2022-01-24__14-58-45,2023-07-03 15:58:53,,Media file,player #1:CEBUS-02-R11__2022-01-24__14-58-45.MP4,24.758,60.861,29.970,LR,BAL,0.0,reposit,Behavior,hammer,,,,POINT,5.305,5.305,NA,CEBUS-02-R11__2022-01-24__14-58-45.MP4,159,159,,,,
CEBUS-02-R11__2022-01-24__14-58-45,2023-07-03 15:58:53,,Media file,player #1:CEBUS-02-R11__2022-01-24__14-58-45.MP4,24.758,60.861,29.970,LR,BAL,0.0,pound,Behavior,stand,tailsupport,overhead,,POINT,9.009,9.009,NA,CEBUS-02-R11__2022-01-24__14-58-45.MP4,270,270,,,,
CEBUS-02-R11__2022-01-24__14-58-45,2023-07-03 15:58:53,,Media file,player #1:CEBUS-02-R11__2022-01-24__14-58-45.MP4,24.758,60.861,29.970,LR,BAL,0.0,reposit,Behavior,peel,,,,POINT,10.410,10.410,NA,CEBUS-02-R11__2022-01-24__14-58-45.MP4,312,312,,,,
CEBUS-02-R11__2022-01-24__14-58-45,2023-07-03 15:58:53,,Media file,player #1:CEBUS-02-R11__2022-01-24__14-58-45.MP4,24.758,60.861,29.970,LR,BAL,0.0,reposit,Behavior,hammer,,,,POINT,13.280,13.280,NA,CEBUS-02-R11__2022-01-24__14-58-45.MP4,398,398,,,,
CEBUS-02-R11__2022-01-24__14-58-45,2023-07-03 15:58:53,,Media file,player #1:CEBUS-02-R11__2022-01-24__14-58-45.MP4,24.758,60.861,29.970,LR,BAL,0.0,pound,Behavior,stand,"1foot,tailsupport",overhead,,POINT,14.815,14.815,NA,CEBUS-02-R11__2022-01-24__14-58-45.MP4,444,444,,,,
CEBUS-02-R11__2022-01-24__14-58-45,2023-07-03 15:58:53,,Media file,player #1:CEBUS-02-R11__2022-01-24__14-58-45.MP4,24.758,60.861,29.970,LR,BAL,0.0,reposit,Behavior,peel,,,,POINT,16.316,16.316,NA,CEBUS-02-R11__2022-01-24__14-58-45.MP4,489,489,,,,
CEBUS-02-R11__2022-01-24__14-58-45,2023-07-03 15:58:53,,Media file,player #1:CEBUS-02-R11__2022-01-24__14-58-45.MP4,24.758,60.861,29.970,LR,BAL,0.0,pound,Behavior,stand,"1foot,tailsupport",overhead,,POINT,18.785,18.785,NA,CEBUS-02-R11__2022-01-24__14-58-45.MP4,563,563,,,,
CEBUS-02-R11__2022-01-24__14-58-45,2023-07-03 15:58:53,,Media file,player #1:CEBUS-02-R11__2022-01-24__14-58-45.MP4,24.758,60.861,29.970,LR,BAL,0.0,pound,Behavior,stand,"1foot,tailsupport",overhead,,POINT,21.688,21.688,NA,CEBUS-02-R11__2022-01-24__14-58-45.MP4,650,650,,,,
CEBUS-02-R11__2022-01-24__14-58-45,2023-07-03 15:58:53,,Media file,player #1:CEBUS-02-R11__2022-01-24__14-58-45.MP4,24.758,60.861,29.970,LR,BAL,0.0,seqend,Sequence info,opened,None,None,None,POINT,24.758,24.758,NA,CEBUS-02-R11__2022-01-24__14-58-45.MP4,742,742,,,,
CEBUS-02-R11__2022-01-24__15-19-37,2023-07-03 16:15:20,,Media file,player #1:CEBUS-02-R11__2022-01-24__15-19-37.MP4,26.627,60.861,29.970,LR,BAL,0.0,seqstart,Sequence info,almendrabrown,,,,POINT,0.000,0.000,NA,CEBUS-02-R11__2022-01-24__15-19-37.MP4,0,0,,,,
CEBUS-02-R11__2022-01-24__15-19-37,2023-07-03 16:15:20,,Media file,player #1:CEBUS-02-R11__2022-01-24__15-19-37.MP4,26.627,60.861,29.970,LR,BAL,0.0,hammerstone,Sequence info,onanvil,None,e_onanvil,,POINT,0.100,0.100,NA,CEBUS-02-R11__2022-01-24__15-19-37.MP4,3,3,,,FRE,
CEBUS-02-R11__2022-01-24__15-19-37,2023-07-03 16:15:20,,Media file,player #1:CEBUS-02-R11__2022-01-24__15-19-37.MP4,26.627,60.861,29.970,LR,BAL,0.0,pound,Behavior,stand,None,None,,POINT,3.303,3.303,NA,CEBUS-02-R11__2022-01-24__15-19-37.MP4,99,99,,,,
CEBUS-02-R11__2022-01-24__15-19-37,2023-07-03 16:15:20,,Media file,player #1:CEBUS-02-R11__2022-01-24__15-19-37.MP4,26.627,60.861,29.970,LR,BAL,0.0,reposit,Behavior,item,,,,POINT,6.073,6.073,NA,CEBUS-02-R11__2022-01-24__15-19-37.MP4,182,182,,,item falls off several times,
CEBUS-02-R11__2022-01-24__15-19-37,2023-07-03 16:15:20,,Media file,player #1:CEBUS-02-R11__2022-01-24__15-19-37.MP4,26.627,60.861,29.970,LR,BAL,0.0,misstrike,Behavior,hammerlost,,,,POINT,6.974,6.974,NA,CEBUS-02-R11__2022-01-24__15-19-37.MP4,209,209,,,,
CEBUS-02-R11__2022-01-24__15-19-37,2023-07-03 16:15:20,,Media file,player #1:CEBUS-02-R11__2022-01-24__15-19-37.MP4,26.627,60.861,29.970,LR,BAL,0.0,pound,Behavior,stand,1foot,overhead,,POINT,13.013,13.013,NA,CEBUS-02-R11__2022-01-24__15-19-37.MP4,390,390,,,,
CEBUS-02-R11__2022-01-24__15-19-37,2023-07-03 16:15:20,,Media file,player #1:CEBUS-02-R11__2022-01-24__15-19-37.MP4,26.627,60.861,29.970,LR,BAL,0.0,misstrike,Behavior,"itemflies,hammerlost",,,,POINT,13.113,13.113,NA,CEBUS-02-R11__2022-01-24__15-19-37.MP4,393,393,,,,
CEBUS-02-R11__2022-01-24__15-19-37,2023-07-03 16:15:20,,Media file,player #1:CEBUS-02-R11__2022-01-24__15-19-37.MP4,26.627,60.861,29.970,LR,BAL,0.0,pound,Behavior,stand,"1foot,tailsupport",overhead,,POINT,17.484,17.484,NA,CEBUS-02-R11__2022-01-24__15-19-37.MP4,524,524,,,,
CEBUS-02-R11__2022-01-24__15-19-37,2023-07-03 16:15:20,,Media file,player #1:CEBUS-02-R11__2022-01-24__15-19-37.MP4,26.627,60.861,29.970,LR,BAL,0.0,reposit,Behavior,item,,,,POINT,20.153,20.153,NA,CEBUS-02-R11__2022-01-24__15-19-37.MP4,604,604,,,,
CEBUS-02-R11__2022-01-24__15-19-37,2023-07-03 16:15:20,,Media file,player #1:CEBUS-02-R11__2022-01-24__15-19-37.MP4,26.627,60.861,29.970,LR,BAL,0.0,pound,Behavior,stand,"1foot,tailsupport",overhead,,POINT,22.723,22.723,NA,CEBUS-02-R11__2022-01-24__15-19-37.MP4,681,681,,,,
CEBUS-02-R11__2022-01-24__15-19-37,2023-07-03 16:15:20,,Media file,player #1:CEBUS-02-R11__2022-01-24__15-19-37.MP4,26.627,60.861,29.970,LR,BAL,0.0,seqend,Sequence info,opened,None,None,None,POINT,26.627,26.627,NA,CEBUS-02-R11__2022-01-24__15-19-37.MP4,798,798,,,,
CEBUS-02-R11__2022-01-25__16-46-32,2023-07-04 11:30:02,,Media file,player #1:CEBUS-02-R11__2022-01-25__16-46-32.MP4,11.077,60.861,29.970,LR,TER,0.0,seqstart,Sequence info,almendragreen,,,,POINT,49.750,49.750,NA,CEBUS-02-R11__2022-01-25__16-46-32.MP4,1491,1491,,,,
CEBUS-02-R11__2022-01-25__16-46-32,2023-07-04 11:30:02,,Media file,player #1:CEBUS-02-R11__2022-01-25__16-46-32.MP4,11.077,60.861,29.970,LR,TER,0.0,hammerstone,Sequence info,onanvil,None,e_onanvil,,POINT,49.850,49.850,NA,CEBUS-02-R11__2022-01-25__16-46-32.MP4,1494,1494,,,FRE,
CEBUS-02-R11__2022-01-25__16-46-32,2023-07-04 11:30:02,,Media file,player #1:CEBUS-02-R11__2022-01-25__16-46-32.MP4,11.077,60.861,29.970,LR,TER,0.0,misstrike,Behavior,None,,,,POINT,54.788,54.788,NA,CEBUS-02-R11__2022-01-25__16-46-32.MP4,1642,1642,,,"before this, TER moved Almendra under hammer (wasn't really a pound)",
