"","videoID","codingdate","medianame","videolength","coder","subjectID","behavior","modifier1","starttime","comment","sequenceID"
"1","CEBUS-02-R11__2022-01-10__17-50-52","2024-12-05 13:49:27.939","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4","60.894","MC","TER","seqstart","almendraunknown",2.336,"FRE as anvil","CEBUS-02_2022-01-10_1"
"2","CEBUS-02-R11__2022-01-10__17-50-52","2024-12-05 13:49:27.939","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4","60.894","MC","TER","hammerstone","onanvil",2.502,"BAM","CEBUS-02_2022-01-10_1"
"3","CEBUS-02-R11__2022-01-10__17-50-52","2024-12-05 13:49:27.939","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4","60.894","MC","TER","pound","crouch",2.603,"","CEBUS-02_2022-01-10_1"
"16","CEBUS-02-R11__2022-01-10__17-50-52","2024-12-18 11:23:00.909","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4","60.894","ZG","juvenileunknown","present","",3.038,"","CEBUS-02_2022-01-10_1"
"4","CEBUS-02-R11__2022-01-10__17-50-52","2024-12-05 13:49:27.939","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4","60.894","MC","TER","seqend","abandoned",3.737,"","CEBUS-02_2022-01-10_1"
"5","CEBUS-02-R11__2022-01-10__17-50-52","2024-12-05 13:49:27.939","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4","60.894","MC","TER","seqstart","almendrabrown",6.974,"FRE as anvil. check ID","CEBUS-02_2022-01-10_2"
"6","CEBUS-02-R11__2022-01-10__17-50-52","2024-12-05 13:49:27.939","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4","60.894","MC","TER","hammerstone","onanvil",8.609,"BAM","CEBUS-02_2022-01-10_2"
"7","CEBUS-02-R11__2022-01-10__17-50-52","2024-12-05 13:49:27.939","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4","60.894","MC","TER","pound","crouch",10.644,"","CEBUS-02_2022-01-10_2"
"8","CEBUS-02-R11__2022-01-10__17-50-52","2024-12-05 13:49:27.939","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4","60.894","MC","TER","pound","crouch",12.779,"","CEBUS-02_2022-01-10_2"
"9","CEBUS-02-R11__2022-01-10__17-50-52","2024-12-05 13:49:27.939","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4","60.894","MC","TER","pound","crouch",14.348,"","CEBUS-02_2022-01-10_2"
"10","CEBUS-02-R11__2022-01-10__17-50-52","2024-12-05 13:49:27.939","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4","60.894","MC","TER","seqend","None",16.583,"","CEBUS-02_2022-01-10_2"
"213","CEBUS-02-R11__2022-01-10__17-50-52","2024-12-18 11:23:00.909","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4","60.894","ZG","juvenileunknown","present","",38.272,"","CEBUS-02_2022-01-10_2"
"403","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","seqstart","almendrabrown",0,"","CEBUS-02_2022-02-11_39"
"404","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","hammerstone","inhand",0.133,"FRE","CEBUS-02_2022-02-11_39"
"11","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-18 11:31:41.053","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","ZG","BAL","present","",1.168,"","CEBUS-02_2022-02-11_39"
"405","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","pound","stand",1.502,"","CEBUS-02_2022-02-11_39"
"12","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-18 11:31:41.053","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","ZG","BAL","socialattention","",5.005,"","CEBUS-02_2022-02-11_39"
"406","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","seqend","opened",5.739,"","CEBUS-02_2022-02-11_39"
"13","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-18 11:31:41.053","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","ZG","BAL","avoid","no aggression",7.541,"","CEBUS-02_2022-02-11_39"
"407","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","seqstart","almendrabrown",19.486,"","CEBUS-02_2022-02-11_40"
"408","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","hammerstone","onanvil",19.853,"FRE","CEBUS-02_2022-02-11_40"
"409","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","pound","stand",22.022,"","CEBUS-02_2022-02-11_40"
"410","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","pound","stand",23.524,"","CEBUS-02_2022-02-11_40"
"14","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-18 11:31:41.053","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","ZG","BAL","present","",24.391,"","CEBUS-02_2022-02-11_40"
"411","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","reposit","peel",24.791,"","CEBUS-02_2022-02-11_40"
"412","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","pound","crouch",39.506,"","CEBUS-02_2022-02-11_40"
"413","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","seqend","opened",42.543,"","CEBUS-02_2022-02-11_40"
"414","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","seqstart","almendrabrown",45.612,"","CEBUS-02_2022-02-11_41"
"415","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","hammerstone","onanvil",46.179,"FRE","CEBUS-02_2022-02-11_41"
"15","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-18 11:31:41.053","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","ZG","BAL","present","",46.98,"","CEBUS-02_2022-02-11_41"
"416","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","pound","stand",47.047,"","CEBUS-02_2022-02-11_41"
"417","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","pound","stand",48.382,"","CEBUS-02_2022-02-11_41"
"418","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","pound","stand",50.25,"","CEBUS-02_2022-02-11_41"
"419","CEBUS-02-R11__2022-02-11__17-37-41","2024-12-05 21:03:59.862","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-37-41.MP4","60.894","MC","SPT","seqend","opened",51.285,"","CEBUS-02_2022-02-11_41"
"19","CEBUS-02-R11__2022-02-11__17-44-46","2024-12-18 11:35:12.077","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-44-46.MP4","60.861","ZG","juvenileunknown","avoid","no aggression",31.598,"","CEBUS-02_2022-02-11_43"
"20","CEBUS-02-R11__2022-02-11__17-44-46","2024-12-18 11:35:12.077","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-44-46.MP4","60.861","ZG","juvenileunknown","avoid","no aggression",33.267,"","CEBUS-02_2022-02-11_43"
"21","CEBUS-02-R11__2022-02-11__17-44-46","2024-12-18 11:35:12.077","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-44-46.MP4","60.861","ZG","juvenileunknown","present","",37.404,"","CEBUS-02_2022-02-11_43"
"22","CEBUS-02-R11__2022-02-11__17-44-46","2024-12-18 11:35:12.077","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-44-46.MP4","60.861","ZG","juvenileunknown","present","",37.704,"","CEBUS-02_2022-02-11_43"
"23","CEBUS-02-R11__2022-02-11__17-44-46","2024-12-18 11:35:12.077","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-44-46.MP4","60.861","ZG","juvenileunknown","present","",38.272,"","CEBUS-02_2022-02-11_43"
"424","CEBUS-02-R11__2022-02-11__17-44-46","2024-12-05 21:17:25.600","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-44-46.MP4","60.861","MC","BAL","seqstart","almendrabrown",39.239,"","CEBUS-02_2022-02-11_43"
"24","CEBUS-02-R11__2022-02-11__17-44-46","2024-12-18 11:35:12.077","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-44-46.MP4","60.861","ZG","adultfemale","present","",39.306,"","CEBUS-02_2022-02-11_43"
"425","CEBUS-02-R11__2022-02-11__17-44-46","2024-12-05 21:17:25.600","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-44-46.MP4","60.861","MC","BAL","hammerstone","offanvilreach",39.373,"FRE","CEBUS-02_2022-02-11_43"
"25","CEBUS-02-R11__2022-02-11__17-44-46","2024-12-18 11:35:12.077","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-44-46.MP4","60.861","ZG","subadultmale","present","",41.008,"","CEBUS-02_2022-02-11_43"
"426","CEBUS-02-R11__2022-02-11__17-44-46","2024-12-05 21:17:25.600","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-44-46.MP4","60.861","MC","BAL","pound","stand",41.141,"","CEBUS-02_2022-02-11_43"
"427","CEBUS-02-R11__2022-02-11__17-44-46","2024-12-05 21:17:25.600","Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-44-46.MP4","60.861","MC","BAL","pound","stand",43.744,"","CEBUS-02_2022-02-11_43"
