Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Coder ID,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
CEBUS-02-R11__2022-01-10__17-50-52,2024-12-18 11:23:00.909,,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,0.0,35.234,60.894,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,3.038,3.038,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,91,91,,,,
CEBUS-02-R11__2022-01-10__17-50-52,2024-12-18 11:23:00.909,,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,0.0,35.234,60.894,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,38.272,38.272,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-10__17-50-52.MP4,1147,1147,,,,
CEBUS-02-R11__2022-01-25__16-46-32,2024-11-18 15:04:01.738,,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-25__16-46-32.MP4,0.0,0.000,60.861,29.970,ZG,subadultmale,0.0,present,Not defined,,POINT,10.010,10.010,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-25__16-46-32.MP4,300,300,,,,
CEBUS-02-R11__2022-01-31__18-26-30,2024-11-18 15:14:05.061,,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-31__18-26-30.MP4,0.0,0.000,60.894,29.970,ZG,subadultmale,0.0,present,Not defined,,POINT,35.002,35.002,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-01-31__18-26-30.MP4,1049,1049,,,,
CEBUS-02-R11__2022-02-05__14-26-09,2024-12-18 11:25:18.388,,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-05__14-26-09.MP4,0.0,2.936,60.861,29.970,ZG,LAR,0.0,present,Not defined,,POINT,11.478,11.478,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-05__14-26-09.MP4,344,344,,,,
CEBUS-02-R11__2022-02-05__14-26-09,2024-12-18 11:25:18.388,,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-05__14-26-09.MP4,0.0,2.936,60.861,29.970,ZG,LAR,0.0,displace,Not defined,,POINT,11.979,11.979,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-05__14-26-09.MP4,359,359,,,,
CEBUS-02-R11__2022-02-05__14-26-09,2024-12-18 11:25:18.388,,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-05__14-26-09.MP4,0.0,2.936,60.861,29.970,ZG,BAL,0.0,present,Not defined,,POINT,14.414,14.414,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-05__14-26-09.MP4,432,432,,,,
CEBUS-02-R11__2022-02-06__17-57-49,2024-12-18 11:26:30.876,,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-06__17-57-49.MP4,0.0,0.000,60.894,29.970,ZG,juvenileunknown,0.0,present,Not defined,,POINT,0.767,0.767,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-06__17-57-49.MP4,23,23,,,,
CEBUS-02-R11__2022-02-11__17-36-33,2024-12-18 11:28:00.942,,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-36-33.MP4,0.0,7.508,60.894,29.970,ZG,SPT,0.0,present,Not defined,,POINT,21.154,21.154,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-36-33.MP4,634,634,,,,
CEBUS-02-R11__2022-02-11__17-36-33,2024-12-18 11:28:00.942,,Media file,player #1:Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-36-33.MP4,0.0,7.508,60.894,29.970,ZG,SPT,0.0,displace,Not defined,,POINT,28.662,28.662,NA,Y:/capuchin_coiba/archive/rawdata/camera_trap_images/renamed_data/R11/CEBUS-02-R11/CEBUS-02-R11__2022-02-11__17-36-33.MP4,859,859,,,,
